id,name,born,nationality
20000000-0000-0000-0000-000000000001,Dave Matthews,1967-01-09,South African
20000000-0000-0000-0000-000000000002,Carter Beauford,1957-11-02,American
20000000-0000-0000-0000-000000000003,Stefan Lessard,1974-06-04,American
20000000-0000-0000-0000-000000000004,Boyd Tinsley,1964-09-16,American
20000000-0000-0000-0000-000000000005,LeRoi Moore,1961-09-07,American
20000000-0000-0000-0000-000000000006,Jeff Coffin,1965-08-05,American
20000000-0000-0000-0000-000000000007,Eric Clapton,1945-03-30,British
20000000-0000-0000-0000-000000000008,Jack Bruce,1943-05-14,Scottish
20000000-0000-0000-0000-000000000009,Ginger Baker,1939-08-19,British
20000000-0000-0000-0000-000000000010,Bobby Whitlock,1948-03-18,American
20000000-0000-0000-0000-000000000011,Carl Radle,1942-06-18,American
20000000-0000-0000-0000-000000000012,Jim Gordon,1945-07-14,American
20000000-0000-0000-0000-000000000013,Duane Allman,1946-11-20,American
20000000-0000-0000-0000-000000000014,Eddie Van Halen,1955-01-26,Dutch-American
20000000-0000-0000-0000-000000000015,Alex Van Halen,1953-05-08,Dutch-American
20000000-0000-0000-0000-000000000016,David Lee Roth,1954-10-10,American
20000000-0000-0000-0000-000000000017,Sammy Hagar,1947-10-13,American
20000000-0000-0000-0000-000000000018,Michael Anthony,1954-06-20,American
20000000-0000-0000-0000-000000000019,Wolfgang Van Halen,1991-03-16,American
